[2026-07-03T10:10:15.842Z] GET https://openreview.net/forum?id=ikrQWGgxYg → 307 (266ms, ?B)
[2026-07-03T10:10:16.109Z] GET https://openreview.net/challenge?redirect=%2Fforum%3Fid%3DikrQWGgxYg → 200 (298ms, 4787B)
[2026-07-03T10:10:16.420Z] GET https://fonts.googleapis.com/css?family=Noto+Sans:400,400i,700,700i&display=swap&subset=latin-ext → 200 (274ms, 12646B)
[2026-07-03T10:10:16.421Z] GET https://challenges.cloudflare.com/turnstile/v0/api.js → 302 (50ms, ?B)
[2026-07-03T10:10:16.472Z] GET https://challenges.cloudflare.com/turnstile/v0/b/80a697ecdece/api.js → 200 (22ms, 70745B)
[2026-07-03T10:10:16.716Z] GET https://fonts.gstatic.com/s/notosans/v42/o-0bIpQlx3QUlC5A4PNB6Ryti20_6n1iPHjc5a7du3mhPy0.woff2 → pending (?ms, ?B)
[2026-07-03T10:10:16.728Z] GET https://challenges.cloudflare.com/cdn-cgi/challenge-platform/h/b/turnstile/f/av0/rch/lr9p9/0x4AAAAAAADWbCSNeh3IIMw3/auto/fbE/new/normal?lang=auto → 200 (21ms, 269190B)
[2026-07-03T10:10:16.791Z] GET https://challenges.cloudflare.com/cdn-cgi/challenge-platform/h/b/cmg/1 → 200 (2ms, 86B)
[2026-07-03T10:10:17.439Z] GET blob:https://challenges.cloudflare.com/d5f8f314-692b-46f3-9e3b-aafb4844ccd5 → pending (?ms, ?B)
[2026-07-03T10:10:17.588Z] POST https://challenges.cloudflare.com/cdn-cgi/challenge-platform/h/b/fo/4265716251:1783069228:7vxthMteR4hoc_TR_QOJvvcpTM-5ssXhempFbT8IvKE/a1551976982af0ac/UgD1thENDakkkyR9nqdzoMKKS6QQuYaK0h2j5CQ1bFI-1783073416-1.2.1.1-bst2kofVzfYXPhL3gTQj216GJs1FKSv__QG5d_jZu6pMWWlBjKoqSBJnkPQIEhqV → 200 (112ms, 467644B)
[2026-07-03T10:10:17.756Z] GET blob:https://challenges.cloudflare.com/21077b67-5e61-41a0-9d6d-19aaa45f3484 → 200 (6ms, 291B)
[2026-07-03T10:10:17.795Z] GET https://brunhild.challenges.cloudflare.com/cdn-cgi/challenge-platform/h/b/i/a1551976982af0ac/UgD1thENDakkkyR9nqdzoMKKS6QQuYaK0h2j5CQ1bFI-1783073416-1.2.1.1-bst2kofVzfYXPhL3gTQj216GJs1FKSv__QG5d_jZu6pMWWlBjKoqSBJnkPQIEhqV → pending (?ms, ?B)
[2026-07-03T10:10:17.803Z] GET https://challenges.cloudflare.com/cdn-cgi/challenge-platform/h/b/pat/a1551976982af0ac/1783073417600/9f8d7f6b42e353e69d168b5bba5f68e4f17b447174c569b73c711ce5e9d794ec/sMjSbeHbCA2iqle → 401 (41ms, 1B)
[2026-07-03T10:10:17.915Z] GET blob:https://challenges.cloudflare.com/21077b67-5e61-41a0-9d6d-19aaa45f3484 → 200 (3ms, 291B)
[2026-07-03T10:10:18.234Z] GET https://challenges.cloudflare.com/cdn-cgi/challenge-platform/h/b/ci/a1551976982af0ac/1783073417602/dgWkuPhYzJHWvxk → 200 (12ms, 2487B)
